1yr_return,cat_avg_ret_1m,cat_avg_ret_1y,cat_avg_ret_2y,cat_avg_ret_3m,cat_avg_ret_3y,cat_avg_ret_5y,cat_avg_ret_6m,category,category_url,crisil_rating,diff_fund_cat_1m,diff_fund_cat_1y,diff_fund_cat_2y,diff_fund_cat_3m,diff_fund_cat_3y,diff_fund_cat_5y,diff_fund_cat_6m,fund_family_aum,fund_family_name,fund_family_shortcode,fund_family_url,fund_ret_1m,fund_ret_1y,fund_ret_2y,fund_ret_3m,fund_ret_3y,fund_ret_5y,fund_ret_6m,latest_nav,scheme_aum,scheme_name,scheme_risk_text,scheme_url
0.7,8.92,10.74,8.43,10.04,3.8,8.41,36.04,Sectoral/Thematic,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/sectoralthematic.html,Not Ranked,7.950000000000001,-10.05,17.64,16.89,27.23,106.47,20.28,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,16.87,0.69,26.07,26.93,31.03,114.88,56.32,19.79,819.38,SBI Banking & Financial Services Fund,High,http://www.moneycontrol.com/mutual-funds/nav/sbi-banking-financial-services-fund-regular-plan/MSB1099
10.2,0.72,9.72,10.44,2.02,8.58,8.42,4.92,Banking and PSU Fund,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/banking-and-psu-fund.html,Rank 3,0.050000000000000044,0.4900000000000002,11.500000000000002,0.20000000000000018,21.310000000000002,41.72,0.21999999999999975,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,0.77,10.21,21.94,2.22,29.89,50.14,5.14,"2,447.09","1,309.90",SBI Banking & PSU Fund,Moderate,http://www.moneycontrol.com/mutual-funds/nav/sbi-banking-psu-fund/MSA014
10.7,0.75,10.11,10.81,2.11,8.95,8.77,5.09,Banking and PSU Fund,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/banking-and-psu-fund.html,Not Ranked,0.06000000000000005,0.620000000000001,12.290000000000001,0.22999999999999998,22.85,45.400000000000006,0.2999999999999998,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,0.81,10.73,23.1,2.34,31.8,54.17,5.39,"2,545.70","4,383.26",SBI Banking & PSU Fund,Moderate,http://www.moneycontrol.com/mutual-funds/nav/sbi-banking-psu-fund-direct-plan/MSA033
7.8,8.1,6.38,9.62,12.06,5.87,9.51,36.57,Large Cap Fund,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/large-cap-fund.html,Rank 4,2.8100000000000005,1.4299999999999997,11.99,1.6099999999999994,11.91,49.03,5.43,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,10.91,7.81,21.61,13.67,17.78,58.54,42.0,44.47,"14,044.23",SBI Blue Chip Fund,Moderately High,http://www.moneycontrol.com/mutual-funds/nav/sbi-blue-chip-fund/MSB079
8.6,8.19,7.39,10.69,12.27,6.86,10.58,37.01,Large Cap Fund,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/large-cap-fund.html,Rank 4,2.780000000000001,1.2600000000000007,12.770000000000001,1.5899999999999999,14.02,56.05,5.5,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,10.97,8.65,23.46,13.86,20.88,66.63,42.51,47.64,"5,082.26",SBI Blue Chip Fund,Moderately High,http://www.moneycontrol.com/mutual-funds/nav/sbi-blue-chip-fund-direct-plan/MSB532
-4.7,8.92,10.74,8.43,10.04,3.8,8.41,36.04,,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/.html,Not Ranked,0.6300000000000008,-15.42,-7.819999999999999,-2.039999999999999,-3.25,39.69,-3.979999999999997,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,9.55,-4.68,0.61,8.0,0.55,48.1,32.06,112.97,382.00,SBI Consumption Opportunities Fund,High,http://www.moneycontrol.com/mutual-funds/nav/sbi-consumption-opportunities-fund/MSB492
-3.7,8.94,11.94,9.6,10.08,4.62,9.31,36.43,,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/.html,Not Ranked,0.7100000000000009,-15.6,-6.869999999999999,-1.8000000000000007,-0.5499999999999998,46.82,-3.6799999999999997,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,9.65,-3.66,2.73,8.28,4.07,56.13,32.75,122.62,130.19,SBI Consumption Opportunities Fund,High,http://www.moneycontrol.com/mutual-funds/nav/sbi-consumption-opportunities-fund-direct-plan/MSB524
15.2,8.93,11.61,9.07,11.9,4.91,10.4,42.95,Contra Fund,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/contra-fund.html,Rank 3,1.8399999999999999,3.540000000000001,5.99,1.17,-4.1,28.5,6.519999999999996,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,10.77,15.15,15.06,13.07,0.81,38.9,49.47,118.75,"1,014.26",SBI Contra Fund,Moderately High,http://www.moneycontrol.com/mutual-funds/nav/sbi-contra-fund/MSB010
15.8,9.03,12.74,10.21,12.2,6.04,11.72,43.71,Contra Fund,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/contra-fund.html,Rank 3,1.8000000000000007,3.09,6.169999999999998,1.040000000000001,-3.23,31.65,6.219999999999999,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,10.83,15.83,16.38,13.24,2.81,43.37,49.93,124.72,49.39,SBI Contra Fund,Moderately High,http://www.moneycontrol.com/mutual-funds/nav/sbi-contra-fund-direct-plan/MSB530
9.0,0.9,-1.79,0.74,1.18,1.46,4.03,1.15,Credit Risk Fund,http://www.moneycontrol.com/mutual-funds/performance-tracker/returns/credit-risk-fund.html,Rank 3,0.13,10.829999999999998,16.71,1.9000000000000001,21.71,42.37,5.470000000000001,"364,363",SBI Mutual Fund,http://www.moneycontrol.comSB,http://www.moneycontrol.com/mutual-funds/amc-details/SB,1.03,9.04,17.45,3.08,23.17,46.4,6.62,33.85,"3,811.88",SBI Credit Risk Fund,Moderate,http://www.moneycontrol.com/mutual-funds/nav/sbi-credit-risk-fund/MSB055
